Region,Subregion,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
World,All Subregions,745.49504,871.93182,1019.637682,1184.646423,1352.419308,1537.668101,1753.22859,2004.497037,2281.405169,2564.132655,2858.632335,3197.533778,3558.577541,3926.792978,4289.818008,4642.581679,4983.907717,5314.160799,5636.225666,5949.984078,6252.174834
World,More developed countries,441.845461,496.952231,555.969919,615.780012,670.573282,718.511439,757.975224,793.137647,827.0979,856.019399,881.343567,919.093816,957.251125,989.72138,1018.364997,1043.067111,1064.28982,1082.756352,1099.265817,1114.051611,1127.221512
World,Less developed countries (excl. least),289.087723,356.703347,440.473469,538.454322,641.143555,768.069295,927.68226,1126.501518,1347.395378,1575.227249,1816.690141,2084.030593,2367.524795,2655.267717,2933.289892,3196.470516,3442.646447,3671.283796,3884.92233,4083.58466,4264.636824
World,Least developed countries,14.561856,18.276242,23.194294,30.412089,40.702471,51.087367,67.571106,84.857872,106.911891,132.886007,160.598627,194.409369,233.801621,281.803881,338.163119,403.044052,476.97145,560.120651,652.037519,752.347807,860.316498
Africa,All Subregions,33.003838,41.510515,53.309567,68.698849,86.567767,107.750102,134.219834,165.659047,203.382967,244.732273,288.401569,340.303056,400.651229,470.827047,551.551819,642.422538,744.48479,858.242419,983.326991,1119.191974,1264.629182
Africa,Eastern Africa,3.685346,4.811919,6.328081,8.50428,11.548366,15.750424,21.553126,27.45204,35.104071,43.522055,53.123595,64.150911,77.953907,95.795157,117.761153,144.0811,175.619784,212.81957,255.748817,304.515038,358.973704
Africa,Middle Africa,3.656521,4.532387,5.678172,7.556791,10.130843,12.592809,15.476121,18.913108,23.222041,29.012094,34.775353,42.576902,51.860618,62.500855,74.510085,87.798807,102.335708,118.123006,134.969373,152.697586,171.082242
Africa,Northern Africa,12.935193,16.114112,20.129445,25.332555,30.925234,37.140774,44.511244,53.921966,63.968651,73.591201,82.079087,91.895957,102.249016,113.306794,125.030161,136.872809,148.941126,161.15195,173.174894,184.850253,195.87683
Africa,Southern Africa,5.869334,6.952229,8.276754,9.605926,11.118603,12.872077,14.75644,17.232601,20.544024,24.3537,27.646808,30.84732,33.777796,36.119967,38.371878,40.647637,42.769581,44.747132,46.570223,48.250922,49.810146
Africa,Western Africa,6.857444,9.099868,12.897115,17.699297,22.844721,29.394018,37.922903,48.139332,60.54418,74.253223,90.776726,110.831966,134.809892,163.104274,195.878542,233.022185,274.818591,321.400761,372.863684,428.878175,488.88626
Asia,All Subregions,245.051653,297.969923,359.954742,431.11499,505.668764,598.087824,715.23368,865.113435,1032.274787,1206.138014,1392.2316,1614.359113,1847.732883,2082.161262,2304.715011,2512.032727,2702.524621,2875.873792,3034.946848,3180.227418,3309.694333
Asia,Eastern Asia,119.68483,149.152883,182.422233,216.858589,246.11488,280.266334,324.169354,388.322881,461.646578,543.097284,628.338396,742.27748,855.837448,963.497265,1051.971199,1119.071406,1164.959273,1190.440592,1202.273735,1204.898417,1199.237574
Asia,South-Central Asia,84.053156,97.102179,112.692333,133.665758,159.57106,194.445225,240.16987,287.192346,338.909009,390.925384,446.100473,508.149152,574.038022,647.236288,727.576571,814.596998,907.838979,1006.675537,1107.245045,1205.991647,1300.597865
Asia,Central Asia,5.715252,7.281365,9.498919,11.910885,14.222789,16.576525,18.686388,20.782083,22.534521,22.929028,23.059154,23.536975,24.694278,26.255338,28.295132,30.638569,33.309041,36.24953,39.273585,42.275071,45.133136
Asia,Southern Asia,78.337904,89.820814,103.193414,121.754873,145.348271,177.8687,221.483482,266.410263,316.374488,367.996356,423.041319,484.612177,549.343744,620.98095,699.281439,783.958429,874.529938,970.426007,1067.97146,1163.716576,1255.464729
Asia,South-Eastern Asia,26.611724,32.660697,40.482542,49.708387,61.04959,74.699208,91.398588,114.134181,140.907783,167.801401,200.179117,229.879951,261.532169,294.572218,328.023675,361.310774,393.340042,423.362037,451.377019,477.08939,500.15641
Asia,Western Asia,14.701943,19.054164,24.357634,30.882256,38.933234,48.677057,59.495868,75.464027,90.811417,104.313945,117.613614,134.05253,156.325244,176.855491,197.143566,217.053549,236.386327,255.395626,274.051049,292.247964,309.702484
Europe,All Subregions,280.601961,311.083987,344.397489,380.373445,412.199461,441.152742,466.317936,485.384484,502.983022,511.55577,514.545364,523.263188,536.610502,547.531213,557.58487,566.299042,573.494077,579.461654,584.494475,588.430849,591.04093
Europe,Eastern Europe,87.425298,105.254763,123.544257,140.928284,156.450317,172.533106,188.203377,201.090123,211.167097,211.259896,207.472567,203.058197,203.039637,203.62874,204.181841,204.237557,203.744708,203.167175,202.649975,202.013711,201.041628
Europe,Northern Europe,54.399975,56.192385,58.685353,61.823686,64.49852,66.912404,68.683118,69.695027,70.984619,72.2336,73.491674,75.435776,78.322974,81.174248,84.122233,87.089622,89.927304,92.280682,94.298438,96.102604,97.714516
Europe,Southern Europe,48.888288,53.958437,59.12891,65.902937,72.970443,79.450283,85.548503,88.820816,90.910416,92.940995,95.013632,99.922976,105.01894,108.544452,111.485687,114.145,116.472236,118.583939,120.456752,121.957559,122.932592
Europe,Western Europe,89.8884,95.678402,103.038969,111.718538,118.280181,122.256949,123.882938,125.778518,129.92089,135.121279,138.567491,144.846239,150.228951,154.183773,157.795109,160.826863,163.349829,165.429858,167.08931,168.356975,169.352194
Latin America and the Caribbean,All Subregions,69.264267,86.840686,108.53959,134.587519,163.402168,196.257419,232.95506,271.279765,311.620421,352.613797,393.619341,430.378724,465.246405,499.45966,531.235417,560.029997,585.346585,607.049657,625.143959,639.626478,650.479486
Latin America and the Caribbean,Caribbean,6.300876,7.222418,8.323735,9.888485,11.536764,13.493279,15.373139,17.095553,19.096501,21.43925,23.575157,25.770138,27.725139,29.603894,31.360567,32.94834,34.312456,35.515049,36.50873,37.274868,37.803331
Latin America and the Caribbean,Central America,14.864364,18.796688,23.985282,30.231643,37.414977,45.958667,55.259201,63.894245,73.588116,83.631937,93.244512,102.445778,112.338643,122.423891,132.089708,141.24175,149.831949,157.666422,164.673551,170.783851,175.951059
Latin America and the Caribbean,South America,48.099027,60.82158,76.230573,94.467391,114.450427,136.805473,162.32272,190.289967,218.935804,247.54261,276.799672,302.162808,325.182623,347.431875,367.785142,385.839907,401.20218,413.868186,423.961678,431.567759,436.725096
Northern America,All Subregions,109.666641,125.349741,142.856298,157.786533,170.690564,178.97333,188.117832,199.457363,212.087972,228.606845,247.910873,265.610578,282.479552,298.961467,314.905474,330.039842,344.443969,358.153838,371.234296,383.770472,395.984741
Northern America,Canada,8.372186,10.339273,12.368202,14.343602,16.429565,17.498116,18.549808,19.731761,21.213733,22.760397,24.373704,25.866194,27.401752,28.888624,30.373581,31.816995,33.182512,34.417727,35.547271,36.624966,37.685142
Northern America,Other,0.052187,0.058776,0.068076,0.079215,0.090367,0.096403,0.099659,0.104728,0.109651,0.11198,0.114277,0.117031,0.118765,0.120208,0.121159,0.121377,0.120755,0.120234,0.119102,0.117606,0.115937
Northern America,United States of America,101.242268,114.951692,130.42002,143.363716,154.170632,161.378811,169.468365,179.620874,190.764588,205.734468,223.422892,239.627353,254.959035,269.952635,284.410734,298.10147,311.140702,323.615877,335.567923,347.0279,358.183662
Oceania,All Subregions,7.90668,9.176968,10.579996,12.085087,13.890584,15.446684,16.384248,17.602943,19.056,20.485956,21.923588,23.619119,25.85697,27.852329,29.825417,31.757533,33.613675,35.379439,37.079097,38.736887,40.346162
Oceania,Australia/New Zealand,7.680534,8.880767,10.188934,11.557013,13.139654,14.486163,15.240886,16.248072,17.479635,18.737113,20.010004,21.549744,23.594277,25.336567,26.997866,28.538319,29.928793,31.171348,32.293884,33.321107,34.246934
Oceania,Melanesia,0.12294,0.166896,0.232601,0.328401,0.498123,0.648818,0.782539,0.935198,1.097312,1.217688,1.33477,1.454703,1.620584,1.831257,2.098064,2.442698,2.860513,3.336438,3.870154,4.461692,5.110259
Oceania,Micronesia,0.046842,0.056596,0.069411,0.087849,0.112238,0.152807,0.184619,0.221681,0.261467,0.296841,0.325253,0.344582,0.357852,0.385329,0.412475,0.438955,0.464146,0.487058,0.506858,0.523524,0.537352
Oceania,Polynesia,0.056364,0.072709,0.08905,0.111824,0.140569,0.158896,0.176204,0.197992,0.217586,0.234314,0.253561,0.27009,0.284257,0.299176,0.317012,0.337561,0.360223,0.384595,0.408201,0.430564,0.451617
